Response ID,Timestamp (mm/dd/yyyy),"Take a few moments to remember the situation that you thought of and re-experience the emotions you felt at that time as strongly as possible.In as much detail as possible, describe the events of the experience as you would explain them out loud to a friend, paying special attention to your thoughts and feelings during the event.","Which emotions were most present for you during this experience? (select all that apply) - Anger (e.g., Rage, Mad, or Irritated)","Which emotions were most present for you during this experience? (select all that apply) - Disgust (e.g., Nausea, Sickened, or Revulsion)","Which emotions were most present for you during this experience? (select all that apply) - Fear (e.g., Terror, Scared, or Panic)","Which emotions were most present for you during this experience? (select all that apply) - Anxiety (e.g., Dread, Nervous, or Worry)","Which emotions were most present for you during this experience? (select all that apply) - Sadness (e.g., Grief, Lonely, or Empty)","Which emotions were most present for you during this experience? (select all that apply) - Desire (e.g., Wanting, Craving, or Longing)","Which emotions were most present for you during this experience? (select all that apply) - Relaxation (e.g., Easygoing, Chilled out, or Calm)","Which emotions were most present for you during this experience? (select all that apply) - Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437444,8/19/2022 14:18,I was having severe back and neck pain. It was depressing and debilitating. My doctor was trying different treatment options but nothing was working.,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437443,8/19/2022 14:18,"Been trying for a baby and wife was pregnant, however had a miscarriage.",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437440,8/19/2022 14:18,very sad in a way that is like a heartbreak. a feeling that seems like it will never go away,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437439,8/19/2022 14:18,"trying to cope with arthiritus, i have to use a walking stick, which makes me feel embarassed all the time, because im still quite young",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437438,8/19/2022 14:18,"I remember the day my husband passed away it was a experience I wouldn't want anyone to experience., It was heartbreaking to get home and my husband passed away 10 minutes before I got home.",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437436,8/19/2022 14:18,Waiting for my daughters degree results I was so very nervous but when I knew she had passed I was elated.,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437435,8/19/2022 14:18,I feel comfortable when I have reassurance and know nothing is going to go wrong on a day.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437429,8/19/2022 14:18,I went over 6 months without finding out what was wrong with me,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437425,8/19/2022 14:18,It’s a fun even to make sure everyone enjoys the music as much as they can,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82437423,8/19/2022 14:18,Failing to diagnose a problem being fobbed off and left to get on with it disappointed and let down,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437412,8/19/2022 14:18,I when then er for an infection that didn't go away and had to go to a different hospital or immediately to give me the right medicine or to help me and pain meds.,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437410,8/19/2022 14:18,I've never really had a good experience with my health. I don't go when everything is good. Closest thing would be being told my allergies were the cause of my bad head aches and breathing problems.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437405,8/19/2022 14:18,Again the guy was in a tough position but I thought he dealt with it well,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437403,8/19/2022 14:18,When I had an asthma attack in pregnancy I was sick and frightened and out of conteol,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437399,8/19/2022 14:18,I enjoyed the message it sends to kids around the world about the world,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
82437397,8/19/2022 14:18,when someone crashed their car outside our house. the noise was the first thing we hestd and then saw the car crashed. Next minute was a flurry of activity as police and ambulances arrived,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437391,8/19/2022 14:18,I would just cry tell them to go while I think what just happens and try to be positive because that could have been worse.,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437382,8/19/2022 14:18,Playing football and I got tackled very hard and I had my ankle broken from it,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437381,8/19/2022 14:18,I felt happy seemed like a happy commercial! I’d watch it again,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437379,8/19/2022 14:18,"My baby daddy cheated on me for five years straight, attacked me often, and tried to kill me several times. How about that?","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437378,8/19/2022 14:18,I'm confused as to what this survey is about if I'm being 100% honest. The advert made no sense to me whatsoever,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437376,8/19/2022 14:18,"I was very sad the day my daughter passed away,she was very young",,,,,"Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82437375,8/19/2022 14:18,Speaking in person to my relatives. I have not experienced this in a long time.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437374,8/19/2022 14:18,It was an overstuffed trash dumpster on my way to work,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82437373,8/19/2022 14:18,Some old man got on the bus and he was really smelly and it made me feel really Ill because the whole bus stank and everybody was really uncomfortable,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82437371,8/19/2022 14:18,Thanks for your call and I am so glad to you and I can find a good day for your family to,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437370,8/19/2022 14:18,Good feeling like a joyful feeling. Happiness and joy is all I can enjoy,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437369,8/19/2022 14:18,When he called and told me he couldn't wake her up and I was so scared,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437367,8/19/2022 14:18,It was very traumatic experience that I wouldn’t wish on anyone.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,,,,
82437365,8/19/2022 14:18,I felt sad and confused and lost but I knew I had to beat the battle of addiction.,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437364,8/19/2022 14:18,I was kayaking and it was peaceful and invigorating,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437363,8/19/2022 14:18,When I choked on a small piece of paper. I was alone and for quite a few seconds I didn't know what to do. My breathing definitely became laboured while I tied to dislodge the paper.,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437360,8/19/2022 14:18,A man was getting into a taxi cab. It was followed by an old man putting headphones on and last girls playing instruments,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437359,8/19/2022 14:18,"It was nice and comforting, i enjoyed the moment. Maybe things slightly differently next time",,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437356,8/19/2022 14:18,I was able to get diagnosed with my seizure disorders and I was able to stay getting the help I needed to live a productive life,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437355,8/19/2022 14:18,Extremely embarrassed when I discovered I had become immobile on my right side and inconsistent. I remember the first time I had to evacuate my bowels. I was placed on top of a metal receptacle while lying in bed and given a button to push when finished. It was awful and humiliating to be reliant on strangers literally from one day to the next. I am a lady and very private even about simple things like a cough from allergies and then suddenly absolutely no privacy.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437353,8/19/2022 14:18,"My daughter had a seizure after feeling she was going to, she was texting me before hand then I didn’t hear from her, I knew she’d had a seizure",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437350,8/19/2022 14:18,the brand is what they want you to know and its way easy for people,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437349,8/19/2022 14:18,Getting into a taxi and playing instruments and putting on headphones,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437346,8/19/2022 14:18,It was a surreal moment and scary anxious and not knowing what to expect,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437345,8/19/2022 14:18,I do have to get some more money back now then I think it’s okay nice to be in,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82437344,8/19/2022 14:18,Happiness laughter and fun with students playing the instrument,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437343,8/19/2022 14:17,The neighbor's dog's barking at me. I don't like it because I have to study.,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437341,8/19/2022 14:17,I'm not sure what I'm supposed to be writing this time.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437338,8/19/2022 14:17,"A few years ago, I felt very unwell and took myself to A&E for the first time. The doctor gave me antibiotics for a UTI, although I explained this was the wrong diagnosis. 24hrs later I was blue-lighted back with sepsis. I was enraged!","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437336,8/19/2022 14:17,It was interesting but also a little weird. It was a little annoying when the kids played flat notes.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437335,8/19/2022 14:17,It was 3 clips 1 man gets into a cab 2 man in bed putting on headphones 3 4 asian school girls playing instrumentos,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437334,8/19/2022 14:17,"i felt scared, i felt like i was going to die. i felt like i could not breathe.","Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82437333,8/19/2022 14:17,I felt nostalgic and I just missed when I was going to school,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437331,8/19/2022 14:17,For a few months i was having pain in the upper left side of my stomach. I thought i had liver disease because i was a healthy alcoholic and i put off getting it checked out by a doctor. One day i woke up after drinking and that area hurt really bad. I had a terrible feeling and was crying on my way to the emergency room. i got an ultrasound done and found out i had gallbladder sludge.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437330,8/19/2022 14:17,nothing at all don't have any special attention to my thoughts or feelings during the event,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437328,8/19/2022 14:17,Thoughts about what? This is a very confusing survey and idk.,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437326,8/19/2022 14:17,I would describe it to a friend as peaceful and relaxing music.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437324,8/19/2022 14:17,"I once was told that I could possibly have a sexually transmitted infection and I was very scared, anxious and worried. I felt very upset.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437323,8/19/2022 14:17,"I felt devastated and empty, yet filled with pain and grief","Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437318,8/19/2022 14:17,it hurt when I fractured my shoulder - that's all I can say,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437303,8/19/2022 14:17,practice makes perfect and as they say rome wasn’t built in a day we have to keep at it and anything takes time and dedication,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82437302,8/19/2022 14:17,Someone was trying to take what belonged to me and I had to get violent put them,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437299,8/19/2022 14:17,I didn’t really feel much emotion it was almost like just watching,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437298,8/19/2022 14:17,"In the beginning I was curious as the guy was leaving in the cab, then I felt sorrow and sadness as he sat there alone in this little tiny place with his little uncut bed and felt sadness and empathy for this guy who's all alone, and then it switched to girls playing in the band or practicing in the room for it and then I was more curious to find out what was going on but I still was sad even though they weren't initially the ones that made me feel that way",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437297,8/19/2022 14:17,I'm not sure if I understand this question or how its addressing me towards anything in this survey,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437292,8/19/2022 14:17,I really prefer not too retract ill unwanted feeling that are negative because it’ll draw more of that in. But all I’ll say is that is was terrible and that people shouldn’t ever have to experience it because of one evil doings of another person.,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437291,8/19/2022 14:17,Less of a person not wanted alone by myself indifferent,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437290,8/19/2022 14:17,I used to have a therapist that would never listen to my feelings and blame me for things that happened to me.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437288,8/19/2022 14:17,Somebody cut me off on the road I got angry for a moment and then felt bad that I got angry,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437284,8/19/2022 14:17,The loss of my father from Parkinson’s disease when only 59 after working in a foundry all his life and not even living to see he’s pension,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437281,8/19/2022 14:17,"I had just found out I was pregnant after being told for 4 yes I couldn't have kids. I can't even explain the excitement, fear, happiness I felt that day.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437277,8/19/2022 14:17,People do not value the importance of sound in their life. Till it is gone away,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437271,8/19/2022 14:17,I would tell them my personal experience and engaged them to join the event,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437268,8/19/2022 14:17,Very good part time relax and have fun with all my grateful,,,"Fear (e.g., Terror, Scared, or Panic)",,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437267,8/19/2022 14:17,I had sex for the first time and I asked my best friend to smell my fingers.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437262,8/19/2022 14:17,The commercial difnt leave a huge impact on me i thought it couldve been more colorful,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437260,8/19/2022 14:17,Gob ate at McDonalds and the supermarket on his day off this writing is stupid asf as well,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437257,8/19/2022 14:17,I was put in the hospital with pneumonia and found out then I have COPD.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437255,8/19/2022 14:17,I loved the experience and liked the diversity in this short time from a taxi to a concert,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,"Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82437248,8/19/2022 14:17,"I wanted to take my own life. I've attempted multiple times, I didn't succeed. I am angered, sad, sick feeling, anxious scared confused bursting tears","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82437241,8/19/2022 14:16,I thought it was dumb it was just a bunch of people playing instruments and the guy putting on headphones,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82437239,8/19/2022 14:16,I felt scared and empty. I felt sad and anxious. I felt like a part of me died,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437238,8/19/2022 14:16,I felt at a loss when my grandmother died I was sad and confused and I felt a sense of guilt that I was not with her when she died as it meant my brothers were their and have suffered as a result,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437236,8/19/2022 14:16,It was emotional in a happy way it brang me a sense of relief and calmness,,,"Fear (e.g., Terror, Scared, or Panic)",,,"Desire (e.g., Wanting, Craving, or Longing)",,
82437235,8/19/2022 14:16,Having my children and the rush of emotions that occurred after,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437234,8/19/2022 14:16,it is so cool and awesome. it is cool and amazing. it is awesome,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437230,8/19/2022 14:16,I feel sad because the man and the guy are so lonely and sad,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437227,8/19/2022 14:16,I once saw a person throw up when I was waiting in the waiting room at a doctor's office. This was very gross.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437224,8/19/2022 14:16,It was a good event i like it.. I will tell my friend about it,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437223,8/19/2022 14:16,My emotion was calm.It wasn’t that life threatening to me when I had it I still lived a happy life back then,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437212,8/19/2022 14:16,"Out of control, like there was nothing I could do about the outcome of the situation","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437208,8/19/2022 14:16,If I had a medical illness I would get help from a family member or a freind to help me get through it,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437206,8/19/2022 14:16,I am not too sure and I have not had a another experience,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437204,8/19/2022 14:16,That was the feeling I had when I went to the conference where I met my husband.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437201,8/19/2022 14:16,they can be a bit different from they can be a bit more specal,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437199,8/19/2022 14:16,I felt disgust when I discovered a deep infected wound down to the bone on my dog and was very shocked and worried about her,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,,,,
82437196,8/19/2022 14:16,I felt really bad when my friend had bad news to tell me,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82437193,8/19/2022 14:16,My love of my life broke off our relationship and I'm completely lost,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437192,8/19/2022 14:16,Can’t think of anything at the moment. Too many negative experience just now,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437188,8/19/2022 14:16,I was frightened and crying as I didn't want this to happen to me,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437187,8/19/2022 14:16,When I was told I did not heed further treatment. This was a good feeling. Relief.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437185,8/19/2022 14:16,"while my back was at lt worse, my wife spent 30 minutes rubbing my back till it started to get a bit better, which made me feel very grateful and loved.",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437183,8/19/2022 14:16,Left job that caused me stress the past few years and got a work from home job,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437177,8/19/2022 14:16,Touching too far into your baby's nappy when they have done a poo,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82437174,8/19/2022 14:16,The thought of my days in band and the ethereal feeling of holding the saxophone and hearing the melodies flow from it.,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437172,8/19/2022 14:16,"I felt despair not hearing anything at the beginning, having the sense of hearing is something beautiful, I feel a lot for the people who do not have that capacity or the elderly who are losing it",,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437168,8/19/2022 14:16,I really like it a lot there are people getting into a cab was yellow it was dark in the background there was a bunch of music it sound really good and I liked it,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437165,8/19/2022 14:16,"I was taken advantage of sexually. I was scared, angry, and hurt. I also felt homicidal","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437163,8/19/2022 14:16,I felt a lot of emotions but sad was one of the ones I felt the most while watching it,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437160,8/19/2022 14:16,The music it was really nice to listen to as i enjoyed listening to it and it inspired me to start playing an instrument again,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437155,8/19/2022 14:16,"Being so overwhelmed with stress and anxiety that I fainted twice, hitting my head against the wall the second time. Very scary",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437150,8/19/2022 14:16,"It's feels pressure,sometimes you can't explain because you feeling a lot of emotions at the same time",,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437149,8/19/2022 14:16,Don't really know what I would do if I was in that situation,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437144,8/19/2022 14:15,"Use the edit icon to pin, add or delete clips.Use the edit icon to pin, add or delete clips.Use the edit icon to pin, add or delete clips.Tap on a clip to paste it in the text box.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437143,8/19/2022 14:15,When I saw my abuser for the first time after not seeing him for years. I felt sick to my stomach and disgusted all over again,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437138,8/19/2022 14:15,Great and good and nice and amazing and cool and good,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82437137,8/19/2022 14:15,re-experience the emotions you felt at that time as strongly as possible.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437136,8/19/2022 14:15,When my Nana passed away. I was very close to my grandma from a very young age. We would always be with her at her house.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437135,8/19/2022 14:15,"I had found out my whole relationship of 3 years was a complete lie. I had been lied to, cheated on, just completely betrayed. I was devastated and this effected my self esteem a lot, I felt worthless and alone. I started increasing my drinking and other reckless behavior until it didn’t hurt as much anymore","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437129,8/19/2022 14:15,"Like someone was ripping my heart out of my chest, watching my favourite person in this whole world pass away. It hurt in so many ways and mainly because it was never the ending she should have had. The most kind,caring and warm hearted person fighting for those last breaths. Its life changing.","Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437125,8/19/2022 14:15,It was ok because sometimes we are tired and we don't want noise,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437123,8/19/2022 14:15,I think very good and nice. very blvery innovative,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82437121,8/19/2022 14:15,When I found out I was going to have a baby I was so excited I wanted her so bad and when the day came I held her in? My arms but soon she passed away,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
